epoch,weighted_log_loss,mean_probability
1,0.6931471605599456,0.5
25,0.5696567475014765,0.47455549779919565
50,0.5267324007654864,0.44235845495233644
75,0.4989488841235911,0.4169197721678932
100,0.47970363719937065,0.3971203808476598
125,0.46578880223567737,0.3815111683280193
150,0.4553825254031614,0.3689875516637136
175,0.4473770526785635,0.3587614006196516
200,0.4410665723038832,0.35027537518347995
225,0.43598445120789464,0.3431316683020803
250,0.4318126016741844,0.3370418039370801
275,0.428328492242944,0.3317928441744199
300,0.42537291625857643,0.3272248093998133
325,0.42282972251861417,0.32321547616950475
350,0.420612698155468,0.31967000178526217
375,0.418656864825387,0.3165137300942421
400,0.41691257391358855,0.3136871211948049
425,0.4153414205030781,0.31114212058426205
450,0.413913365036038,0.3088395191563381
475,0.41260467272218504,0.30674700580716946
500,0.41139641655931514,0.30483771139469007
